,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/584270446306412779?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688445766_OtMQ7ADrM9gE4ECb&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Aparthotel in Cuauhtemoc,Stunning Mini Suites | Col. Roma,1 double bed,￥234 night￥234 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4033,-99.1606
1,/rooms/782740108392089634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688445766_0X8xlcXjegUxHLUB&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,Sonder Aria | One-Bedroom Apartment,1 king bed,￥525 night￥525 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40429,-99.16753
2,/rooms/43849413?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688445766_ivIgGYbhWX18zJyF&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Aparthotel in Mexico City,Amazing Suites Col. Roma | Colmena,1 double bed,￥286 night￥286 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4054,-99.1596
3,/rooms/923379974653223232?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688445766_oJXY1rHEAGSV2PmH&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Home in Mexico City,Three-Story Heaven with Rooftop,3 beds,"￥1,796 night￥1,796 per night",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4117,-99.1638
4,/rooms/881238784886784781?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688445766_5MteQjVsSN5sNTSo&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Del Valle Norte,Casa KM: Incredible luxury PH with private rooftop,3 beds,￥685 night￥685 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.398304393266635,-99.16683242045889
5,/rooms/23649272?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688445766_VOJ5ZfukiVdcHueb&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Home in Mexico City,Cozy entire house in Roma Sur close to everything!,1 queen bed,￥332 night￥332 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40182,-99.16504
6,/rooms/924898032274292609?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688445766_P9UjLCAKlVhe29lt&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,VH | Espacioso Depa Roma Sur | 2 hab + wifi | 344,2 double beds,￥502 night￥502 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40702335065598,-99.15712106571468
7,/rooms/52087772?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688445766_vb3GCZRATPfH1pTh&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Townhouse in Mexico City,Casa Tepeji,4 beds,"￥3,330 night￥3,330 per night",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40728,-99.16084
8,/rooms/613670297715933823?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-01&source_impression_id=p3_1688445766_wl5E8uK1Ls2AyNec&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Loft in Mexico City,"#4 Apt, Roma Sur, very comfortable and located",2 beds,￥423 night￥423 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4062,-99.1676
9,/rooms/913092915366962304?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688445766_6fzOLP8e%2FP4eS%2BuQ&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,Cautivador espacio en la Roma,3 beds,￥746 night￥746 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40370540066945,-99.16730937023728
10,/rooms/plus/29937902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688445766_7rkeg8moznWqcUXT&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,"Soak Up the Chilled, Cabin Vibe at a Vibrant City Hideaway",2 beds,￥603 night￥603 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4042,-99.1663
11,/rooms/29574790?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1688445766_F%2BiXSgIg9GgFL%2F2H&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Hotel room in Mexico City,Casa México 4,1 king bed,￥703 night￥703 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41091537475586,-99.16881561279297
12,/rooms/19157796?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688445766_2SX01IvV4pz%2B9B%2BA&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Condo in Mexico City,Tree flat on the Roma/Condesa border.,1 double bed,￥830 night￥830 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40904,-99.16755
13,/rooms/923392787812541267?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-11&source_impression_id=p3_1688445766_xIYxgWS4iWbVbgaG&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Condo in Mexico City,Penthouse Colonia Roma,4 beds,"￥1,559 night￥1,559 per night",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4011,-99.17
14,/rooms/29573488?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1688445766_SiMC4p%2FUHxW%2FJBPM&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,"New, well-lit apartment. Colonia Roma.",2 queen beds,￥605 night￥605 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40564,-99.16322
15,/rooms/923852730925966603?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688445766_FCuznmjV9dp%2B57wU&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,"Beautiful, central and with a private balcony",2 beds,￥393 night￥393 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41061,-99.16507
16,/rooms/plus/29389439?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1688445766_clR1qk5hH%2BKe%2FQ1h&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,Casa México 3,1 king bed,"￥1,116 night￥1,116 per night",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4099,-99.16836
17,/rooms/53230442?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688445766_ujhnpzQBl%2BK8xqIS&previous_page_section_name=1000&federated_search_id=5ce10ce8-d7f9-40a2-b3f8-6358ae6337d8,Apartment in Mexico City,The most amazing terrace in col. Roma with AC!,3 beds,"￥1,799 night￥1,799 per night",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41186,-99.16136
18,/rooms/784082330008492981?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688445797_IzNG1ZHOsQcQy6AO&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Room in Mexico City,Beautiful room with balcony in la Roma,Stay with Maryte,"$28 $24 night$24 per night, originally $28",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4063,-99.162
19,/rooms/916649761251402647?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688445797_WwrXMuFl5fxuWF2T&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,"Cozy and Nice apartment in Roma, Ciudad de México",3 beds,$58 night$58 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4042,-99.1629
20,/rooms/16085841?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688445797_HJmxWc8InQJpDIfZ&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,Cosy and colorful apartment RomaSur,2 beds,"$63 $55 night$55 per night, originally $63",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.41097,-99.16222
21,/rooms/613670491628156698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-03&source_impression_id=p3_1688445797_bF11hX6sD81fdT0o&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Loft in Mexico City,"#5 Apt, Roma Sur, very comfortable and located",2 beds,$46 night$46 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40706,-99.16851
22,/rooms/plus/13505249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688445797_beYoSNAZxCBSwYXe&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,"Modern, Industrial Apartment with Bamboo Garden",1 queen bed,"$106 $90 night$90 per night, originally $106",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.409706755213325,-99.1718380981773
23,/rooms/598459465725304035?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688445797_PtCr%2FI%2BkLMZb0vOF&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Aparthotel in Cuauhtemoc,Stunning Mini Suites | Col. Roma. | Balcony,1 bed,$31 night$31 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40414,-99.16149
24,/rooms/35644643?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-19&source_impression_id=p3_1688445797_qOHsuhQigY0yRece&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Home in Mexico City,Cozy small loft in Roma sur close to everything!,1 queen bed,$44 night$44 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40195,-99.16315
25,/rooms/806855149477966610?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-20&source_impression_id=p3_1688445797_taelEWdPQkcs%2BcNn&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,Charming Déco Apartment in Roma-Condesa District.,1 double bed,$44 night$44 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.405043199536923,-99.15928623270487
26,/rooms/27960632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688445797_qTfL55O0zsqd9%2B%2Bc&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Condo in Mexico City,Happy & Peaceful Apartment,2 double beds,"$47 $41 night$41 per night, originally $47",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40404,-99.1498
27,/rooms/53152573?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688445797_tv9jMl6xBq851REc&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Guest suite in Mexico City,Nice independent and central loft @colonia Roma,1 bed,$35 night$35 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4061,-99.16127
28,/rooms/588423290008014068?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688445797_Vrn1YmmNZoNN1nWO&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Condo in Mexico City,Beautiful apartment roma sur everything close,1 bed,$35 night$35 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40696,-99.1552
29,/rooms/45362354?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688445797_LuovOijXjIi1AYVO&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,Beautiful Ambar Apartment,1 queen bed,"$57 $51 night$51 per night, originally $57",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.41125,-99.16324
30,/rooms/34393629?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688445797_8V25bnilrGvb1Uph&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,"Cool apt. in classic building. Roma, CDMX!",2 beds,"$55 $47 night$47 per night, originally $55",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40954,-99.16686
31,/rooms/735460714939290476?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-31&source_impression_id=p3_1688445797_CW1E58uF8nL%2FpIMG&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Room in Mexico City,"Cómoda habitación, acogedora y bien ubicada",Stay with Mónica,$26 night$26 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.401,-99.1616
32,/rooms/47473234?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688445797_3eEoUPrIDkn8TG0M&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Room in Mexico City,Charming Studio & Room with courtyard view,Stay with Alejandro,"$41 $35 night$35 per night, originally $41",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40529,-99.16523
33,/rooms/914017350078798270?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1688445797_VwpzusXMP64Eiiwr&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Apartment in Mexico City,Great apartment in Roma,1 bed,"$35 $28 night$28 per night, originally $35",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4062,-99.1645
34,/rooms/35127781?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688445797_RaatOtfjwzU8FHMC&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Home in Mexico City,"Comfortable private room & kitchen Roma Sur, CDMX",1 double bed,$31 night$31 per night,https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40844,-99.1603
35,/rooms/19981568?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688445797_ZOlhmrkkWQvxBsxW&previous_page_section_name=1000&federated_search_id=f32107b1-f9ac-41f2-b40d-fb74180ec3d0,Place to stay in Mexico City,Nice room for 1 person.,1 double bed,"$24 $19 night$19 per night, originally $24",https://www.airbnb.com/s/roma-sur-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40654,-99.16354
