,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/923733258043422059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688438689_UocdGaz0Oo14jwjl&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,Slow M’ocean,3 beds,$225 night$225 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.943287387665638,-85.40096137109818
1,/rooms/41617682?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688438689_tVqK4FY2%2Fal%2BVdOy&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Guest suite in Mexico Beach,Private guest suite close to the beach,2 beds,$115 night$115 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.94146,-85.39658
2,/rooms/38904383?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1688438689_ar4imcKReJ8QjVdA&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Guest suite in Mexico Beach,Barefoot Bungalow,3 beds,$125 night$125 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.9522,-85.4258
3,/rooms/8740658?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1688438689_sbsiFMnfA1yqTG1u&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Bungalow in Mexico Beach,Windswept Cottage,3 beds,$189 night$189 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.92664,-85.3882
4,/rooms/876169024027555643?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1688438689_CNhBcCpx4qn6qhXy&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Port St. Joe,Steps from the white sugar sands of St Joe Beach,2 beds,$250 night$250 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.89914,-85.36575
5,/rooms/45055864?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1688438689_DUZDcxPCYZPfojVj&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,Escape to the Gulf Shores at our C-Escape cottage!,3 beds,$220 night$220 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.93524,-85.39868
6,/rooms/53414221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688438689_%2FBzbfG5PhqgA8rHu&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Townhouse in Mexico Beach,Stunning 2BR/2BA Cottage steps from the beach,3 beds,"$309 $247 night$247 per night, originally $309",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.95272,-85.42702
7,/rooms/47100693?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688438689_eBxROK5XrrzgMpTl&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Townhouse in Mexico Beach,"Set Sail 9, steps away from the Beach!!",4 beds,$135 night$135 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.95007,-85.42398
8,/rooms/919386321169338950?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688438689_mybw9qNTmt8dg6wt&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,Steps from the Beach with a Gulf View!,1 queen bed,$234 night$234 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.937,-85.4008
9,/rooms/868046409951997377?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1688438689_SL17DD5mPbPrd7qW&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,*BRAND NEW* Steps to Beach ~ Spacious 4 BR/3.5 BA,5 beds,"$581 $424 night$424 per night, originally $581",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.9512,-85.4278
10,/rooms/50541065?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1688438689_kSD1XNscxsGbWJM0&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Townhouse in Mexico Beach,Summer Sale| 300 Steps to the Sand| Book Today!,5 beds,"$243 $214 night$214 per night, originally $243",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.95188,-85.42628
11,/rooms/569295955644016556?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1688438689_CYrtJv55DEkYFD4J&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Condo in Mexico Beach,Oceanview 2nd-Floor 2BR | Pool | Balcony | W/D,3 beds,$154 night$154 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.93671,-85.40141
12,/rooms/834694704332895370?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1688438689_JHhA2FliWVpmJAJD&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,Beach Bum by the Sea,7 beds,$550 night$550 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.935,-85.3994
13,/rooms/546916405469885846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688438689_35uJrucDKm1nkeYS&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,"Beachside Blessings
One block from Mexico Beach!",6 beds,"$360 $175 night$175 per night, originally $360",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.92732,-85.38967
14,/rooms/834775130156826803?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1688438689_RibcbnJTxmhq4RkJ&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,Just Beachy,3 beds,$128 night$128 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.94271,-85.39801
15,/rooms/20051356?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1688438689_yvBHEoGG7de1lEYR&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Cottage in Mexico Beach,Sweet Cozy Cottage - Gulf View,2 queen beds,$147 night$147 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.93295,-85.39618
16,/rooms/864535049695326215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688438689_ukOLwtQyzTTPTlHY&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Home in Mexico Beach,*BRAND NEW* Steps to Beach ~ Spacious 4 BR/3.5 BA,6 beds,"$567 $394 night$394 per night, originally $567",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.95174,-85.42773
17,/rooms/626849333632062336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688438689_FnloESptSEY9rnfU&previous_page_section_name=1000&federated_search_id=e84c0e62-197c-4b2a-8870-1b7c02774b45,Vacation home in Mexico Beach,The Cozy Crab Cottage in Mexico Beach,4 beds,$200 night$200 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.9401,-85.3908
18,/rooms/857887718252351392?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688438720_8Y23kY8DThKO2Fz3&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Condo in Mexico City,Depa Inteligente Nuevo - Céntrico,2 beds,$64 night$64 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.467077571169845,-99.15465943138828
19,/rooms/918409732603358051?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688438720_RrfrGUZ9MxyXetq6&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,Puerta Jardín! Amazing apartment,2 beds,"$70 $58 night$58 per night, originally $70",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4656,-99.1591
20,/rooms/38639644?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-30&source_impression_id=p3_1688438720_3AHW7PicP9ZKfpbM&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,"Apartment near Polanco, Centro and Reforma",2 double beds,$54 night$54 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4712,-99.1681
21,/rooms/556343098733551897?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688438720_1DCBjA6Qh6v5vT7y&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Condo in Mexico City,Comfortable Apartment +Amenities+ independent parking.,3 beds,$119 night$119 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4648,-99.1557
22,/rooms/43703892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688438720_k7bMyNBjHgpSzIOI&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,Confortable departament México city,5 beds,$67 night$67 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46807,-99.17407
23,/rooms/888002396241227861?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688438720_my2rNMQqWI746bu1&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,"Nuevo, seguro, ubicado Sta María",3 beds,$49 night$49 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4696,-99.1717
24,/rooms/756464264908691504?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688438720_V9svSPQoMPiFINOr&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Condo in Mexico City,Beautiful apartment with patio,1 bed,$44 night$44 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.464,-99.1668
25,/rooms/53845330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688438720_oyxtIdAme%2BrNLmg3&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Condo in Mexico City,Comfortable apartment with parking,2 double beds,$61 night$61 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46429,-99.1623
26,/rooms/42817158?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688438720_mgnxXuCXhhqWnHZr&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Condo in Mexico City,Nice and comfortable apartment.,2 beds,$34 night$34 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4693,-99.14996
27,/rooms/53057540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-30&source_impression_id=p3_1688438720_KrShzcNkXh6GQbb7&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,Mexican tribute,2 beds,$60 night$60 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46791,-99.17597
28,/rooms/35037886?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1688438720_RCHEl3xwy5yFT7i9&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Loft in Mexico City,Frida 2 • Mexican loft • In the heart of D.F.,4 beds,$68 night$68 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4654,-99.1556
29,/rooms/548559423679512687?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688438720_saM0uEjfXuVpgQ58&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Condo in Mexico City,Vid: Rincón Mexicano. Full apartment,3 beds,$107 night$107 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4684,-99.1686
30,/rooms/828536679184690132?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688438720_bH99g3kCsqsm1%2F1v&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Room in Mexico City,Departamento Vintage - Estancia única en CDMX,Stay with Erick,$48 night$48 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46795154012338,-99.16436016862394
31,/rooms/44148696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688438720_dz82SmSwQ8Zm2PrP&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,Spacious and comfortable apartment Nueva Santa María,2 beds,"$55 $48 night$48 per night, originally $55",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46077,-99.16836
32,/rooms/821826020696895905?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688438720_pSqMnUOurrmkABxP&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Room in Mexico City,Private room near CDMX airport and downtown,Stay with Luis Enrique,$23 night$23 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4641,-99.1556
33,/rooms/898570546446029738?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-11&source_impression_id=p3_1688438720_yjp2wbO8LylA%2Fl0V&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,Departamento super céntrico,2 beds,$80 night$80 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.469216718062622,-99.17288715688396
34,/rooms/36039157?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688438720_lWePH8qi4R8XKyN3&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Room in Azcapotzalco,A Private room 25 min from historic downtown,Stay with Diego Gilmar,$20 night$20 per night,https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4638,-99.1535
35,/rooms/796577100983544259?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688438720_CH9hS0R9kZUxo5Mm&previous_page_section_name=1000&federated_search_id=ce820458-44ed-4322-9733-6c54af5beeb7,Apartment in Mexico City,Agradable Departamento con Estacionamiento,1 bed,"$38 $32 night$32 per night, originally $38",https://www.airbnb.com/s/ignacio-allende--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46085,-99.15703
