,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/890570396531637965?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688461205_vNyWEmvWzSn1cwWm&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Tacuba,Cómodo depa; Polanco/Reforma.!,2 beds,$600 MXN night$600 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4535,-99.1869
1,/rooms/50851187?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688461205_StW9VWly%2FnwKC76K&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Loft in Mexico City,Cozy apartment in Anáhuac,2 beds,"$725 MXN $504 MXN night$504 MXN per night, originally $725 MXN",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4482,-99.1864
2,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461205_DYRwWpRaAJuArh4P&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"$1,717 MXN $1,511 MXN night$1,511 MXN per night, originally $1,717 MXN",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
3,/rooms/48192165?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461205_%2FaRQLU0LJWYZNYQN&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Legaria,5 min from Nuevo Polanco,1 double bed,$721 MXN night$721 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45387,-99.19676
4,/rooms/768770400914976204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-16&source_impression_id=p3_1688461205_5uCJn0E1x5rvBfkU&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Mexico City,POLANCOca area of TODO-Balcony Vista,2 double beds,$638 MXN night$638 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4494,-99.1908
5,/rooms/17237046?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461205_Ev6D5c%2Fge%2FVBFD%2BS&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Tacuba,"Casa Lipari. Comfort, Location. PB. Invoice",3 beds,$800 MXN night$800 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45801,-99.18812
6,/rooms/44278546?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-19&source_impression_id=p3_1688461205_YjoZQHDIlwAVN666&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Tacuba,"Depto completo, cómodo y moderno a 10 min Polanco",3 beds,$518 MXN night$518 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4581,-99.1912
7,/rooms/44032568?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688461205_BJo%2F8ghktjGYExjW&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Legaria,Apartment Salgado Vista a la Ciudad,2 beds,$550 MXN night$550 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45419,-99.19496
8,/rooms/45079582?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688461205_wJjO8CcpKbXlH9lw&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Tacuba,"Renovated, comfortable and clean. Easy access to Polanco.",3 beds,$600 MXN night$600 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45781,-99.18885
9,/rooms/52495289?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-02&source_impression_id=p3_1688461205_qWRdM9J2WAOpePqi&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Mexico City,Centrally located apartment in CDMX,3 beds,$796 MXN night$796 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4498,-99.1905
10,/rooms/771522090063291669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461205_Y2RhoZt7D9gCosqR&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Tacuba,Apartment 12 Jardin Diana,1 bed,$700 MXN night$700 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45427,-99.18609
11,/rooms/902029474586964352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688461205_ePSCX%2Br0wQy7LKER&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Anáhuac,"Close to Polanco, free parking and colorful design",2 double beds,$772 MXN night$772 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44821979680478,-99.18388622305915
12,/rooms/761221821899441072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461205_IGJ01fUiNdWUZV9C&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Condo in Mexico City,2 CDMX bedrooms near Polanco,3 beds,$880 MXN night$880 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4468,-99.1897
13,/rooms/566156067272420388?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461205_rPv4VhM60ijylJnK&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Pensil Norte,"Comfortable apartment full of light, near Polanco",2 beds,"$774 MXN $617 MXN night$617 MXN per night, originally $774 MXN",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4498,-99.1982
14,/rooms/624144740973952552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461205_ciTEnSWGwapKQ8oC&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Home in Granada,Pleasant downtown house with a popular touch,2 beds,"$1,014 MXN night$1,014 MXN per night",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44639,-99.18578
15,/rooms/920330742328581981?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688461205_xOh7PyVbTAHCg55h&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Home in Tacuba,Casa Th6,4 beds,"$2,995 MXN $2,396 MXN night$2,396 MXN per night, originally $2,995 MXN",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4516,-99.1862
16,/rooms/46978354?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688461205_V5Lto5QiEWz937hu&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Apartment in Tacuba,Great location and great comfort,3 double beds,$685 MXN night$685 MXN per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45552,-99.191
17,/rooms/53346016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-19&source_impression_id=p3_1688461205_wkB%2BNYi3PXJSEkyk&previous_page_section_name=1000&federated_search_id=fa895097-95aa-457f-b353-5645ebaed292,Loft in Clavería,Chic & modern loft for 2 with private terrace!,1 queen bed,"$720 MXN $598 MXN night$598 MXN per night, originally $720 MXN",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4684,-99.18391
18,/rooms/922508033111156021?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461235_DOYXZFxxn207Fu7v&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Periodistas,Hermoso Loft · Cerca de Polanco,1 king bed,"$69 $55 night$55 per night, originally $69",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4486,-99.2199
19,/rooms/582613820765323743?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461235_%2FikY2GGp6qWE077p&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Condo in Granada,"Comfortable new POLANCO, amenities walking to museums",3 beds,"$98 $89 night$89 per night, originally $98",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4416,-99.1959
20,/rooms/902029474586964352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688461235_vtwmnKrzu0xECvBi&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Anáhuac,"Close to Polanco, free parking and colorful design",2 double beds,$45 night$45 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.44821979680478,-99.18388622305915
21,/rooms/52759591?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461235_zmUPGXyqVEyX0m%2BC&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Pensil Norte,"Cozy apartment full of light, near Polanco",2 beds,"$45 $36 night$36 per night, originally $45",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4507,-99.2004
22,/rooms/44032568?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688461235_qW%2FgTW9%2FlKMSM7ik&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Legaria,Apartment Salgado Vista a la Ciudad,2 beds,$32 night$32 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.45419,-99.19496
23,/rooms/51891926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461235_TQhFa0CsLfWSCc7V&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Loft in Granada,"Luxury apartment in Polanco, Mexico City.",1 king bed,$64 night$64 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4425,-99.1855
24,/rooms/859677186853062892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461235_q0YWBvdo%2BOdEv9F%2F&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Condo in Granada,Apartment very close to Polanco,2 beds,$47 night$47 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.445428335823422,-99.18626764213373
25,/rooms/898166928118841797?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688461235_jdKqDyFcbN4LuRBH&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Mexico City,Gorgeous apartment near Polanco,2 beds,"$88 $70 night$70 per night, originally $88",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.44589,-99.18986
26,/rooms/624144740973952552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461235_R9ruKuSOj5RUtTbJ&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Home in Granada,Pleasant downtown house with a popular touch,2 beds,$59 night$59 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.44639,-99.18578
27,/rooms/49001423?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461235_mL1agt5u8gZ5x45U&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Room in Tacuba,Private room near turistic points #2,Stay with Odan,$26 night$26 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46001,-99.18389
28,/rooms/46978354?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688461235_NoIAm%2F6glAikREVU&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Tacuba,Great location and great comfort,3 double beds,$40 night$40 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.45552,-99.191
29,/rooms/595089418733397717?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688461235_QjQ8p9VS%2FM3%2BJwUS&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Hut in Mexico City,Luciérnaga,1 bed,$81 night$81 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.34648,-99.29563
30,/rooms/53346016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-19&source_impression_id=p3_1688461235_xzWNfFaf7weMtbKQ&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Loft in Clavería,Chic & modern loft for 2 with private terrace!,1 queen bed,"$42 $35 night$35 per night, originally $42",https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4684,-99.18391
31,/rooms/925260182058502936?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461235_QhFrw9DihVIiEwUa&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Apartment in Granada,Apartamento cerca de polanco,2 beds,$44 night$44 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.44582,-99.18591
32,/rooms/50153860?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461235_N02S1e73sS80GWyO&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Condo in Tacuba,"Nice apartment, spacious and cozy",2 single beds,$42 night$42 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.45265,-99.18496
33,/rooms/44362961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688461235_0UvwV3zPJjyHsnD1&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Guest suite in Pensil Norte,Xoloitzcuintle Corner: Unique!,1 sofa bed,$19 night$19 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4481,-99.19405
34,/rooms/43258434?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688461235_c0UADkUCOm0BbjUk&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Guest suite in Mexico City,"Independent studio in Cdmx ""El Lugar del Sol""",2 queen beds,$24 night$24 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.45975,-99.19625
35,/rooms/43545858?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688461235_KKw6dMepjmI9rywZ&previous_page_section_name=1000&federated_search_id=1e81cbfc-730f-431f-8d2f-9274e17d8636,Guest suite in Mexico City,"Comfortable Private Studio in Cdmx ""La Luna""",1 queen bed,$23 night$23 per night,https://www.airbnb.com/s/pensil-san-juanico--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.46167,-99.1948
